Tipo;Descripcion;Ancho X Alto;Vidrio;Cantidad;V.Unidad;V. Total;Total+Iva
IT1;DIVISIÓN DE BAÑO TIPO BATIENTE CON 3 HOJAS CON CHAPETA ESQUINERA  CON PISAVIDRIO HEMBRA Y PERFIL -, ,Per:0<br>Boq:0;2755x1900;10MM INCOLORO;1;670,903;670,903;778,248
;;;Totales :;1;670,903;670,903;778,248
